10119|92|21|3|0|58|52|0|0|0|0|0|61|31|0|10
19372|1360|1061|42|3|162|36.7|546|610|385|546|288|653|707|103|75
11932|1398|942|9|0|232|50|608|1938|354|608|276|703|695|44|201
17876|1698|1621|24|0|9|49.9|809|837|468|809|381|788|910|88|24
55019|1817|1692|25|0|9|35.8|683|714|515|683|443|924|893|174|68
17009|2007|1957|1|0|5|40.2|844|909|558|844|400|994|1013|112|31
19043|2664|2494|26|0|55|38.8|1025|1086|711|1025|484|1295|1369|170|71
8045|2909|90|42|0|2594|41.3|1087|1158|753|1087|410|1330|1579|86|122
8242|3216|2598|68|1|235|45|1332|1746|871|1332|601|1585|1631|118|249
4756|3344|3278|8|0|10|51.7|1670|1894|912|1670|746|1612|1732|179|20
18344|3589|2179|83|2|675|39.6|1393|1628|901|1393|619|1739|1850|205|612
18336|4082|3667|58|0|51|44|1658|1819|1087|1658|795|1918|2164|238|236
3784|4086|3383|364|0|81|38.6|1946|2080|1032|1946|806|1916|2170|237|139
13838|4409|4178|41|0|38|42.1|1907|2153|1152|1907|809|2107|2302|220|94
63019|4449|4098|28|1|168|35.1|1767|1937|1174|1767|831|2163|2286|309|45
35968|4575|4085|12|10|47|40.1|1799|2017|1251|1799|1011|2326|2249|276|328
18507|4891|4651|79|0|47|45.3|2052|2175|1371|2052|1040|2364|2527|291|77
48095|4906|4709|48|5|35|43.9|1775|1876|1471|1775|1311|2387|2519|441|67
92315|5094|3742|78|10|22|46.3|2224|10066|1344|2224|1029|2615|2479|256|1085
28544|5368|3015|84|41|1243|24.1|2063|2273|1520|2063|1070|2633|2735|403|788
48471|5745|5397|41|2|47|43.1|2360|2608|1520|2360|1168|2731|3014|363|196
39576|5809|4482|87|3|835|36.3|2323|2945|1522|2323|919|2811|2998|282|231
18091|5926|5587|37|1|55|43.2|2376|2520|1633|2376|1315|2953|2973|396|169
66608|5991|4851|27|0|246|38.4|2406|2722|1387|2406|787|3013|2978|206|547
49690|6182|5940|33|1|13|47.6|2527|3562|1823|2527|1567|3051|3131|416|93
46933|6414|6062|27|2|55|39.9|2592|2793|1770|2592|1252|3097|3317|361|154
13211|6517|5738|52|0|300|38|2677|2820|1636|2677|985|3126|3391|264|230
12834|6594|6360|32|0|50|43.8|2634|2914|1840|2634|1462|3269|3325|392|75
51012|6642|6287|46|9|58|47.1|2895|3210|1787|2895|1429|3254|3388|376|185
56387|6734|5542|244|1|442|32.6|3132|3428|1544|3132|1033|3211|3523|287|308
10607|6824|2360|720|6|1896|42.7|2255|2374|1753|2255|1373|3364|3460|452|1706
41240|6916|6765|25|4|17|41.9|2900|3295|1805|2900|1344|3351|3565|397|32
88401|6944|3161|80|4|97|43.9|3104|3864|1878|3104|1246|3392|3552|298|3481
51566|7035|6655|16|1|21|43.9|3020|3478|1871|3020|1399|3403|3632|390|255
32266|7037|6464|68|2|85|40.8|3192|3493|1771|3192|1349|3586|3451|368|278
17751|7084|6893|31|0|39|41.3|2780|3185|1956|2780|1557|3474|3610|446|67
50511|7137|6910|50|0|31|47.1|3139|3390|2011|3139|1686|3459|3678|490|86
95642|7164|6032|91|10|33|49.4|3127|3529|1978|3127|1466|3330|3834|332|721
15223|7236|6940|52|0|60|41.7|3351|3669|1889|3351|1271|3476|3760|356|90
50662|7238|6831|37|5|61|43.7|3093|3402|1946|3093|1466|3477|3761|381|193
46225|7319|5453|41|2|812|33.1|2759|3594|1508|2759|748|3804|3515|209|834
30742|7460|6513|175|5|364|37|3161|3424|1886|3161|1231|3367|4093|371|219
48413|7551|7181|70|0|52|43.9|3065|3445|1988|3065|1513|3612|3939|454|140
